Title,Rarity,Price,Quantity
Amazoness Augusta,Common,$0.15
Amazoness Golden Whip Master,Common,$0.09
Amazoness Pet Liger King,Common,$0.08
Amazoness Secret Arts,Common,$0.13
Amazoness Silver Sword Master,Common,$0.09
Amazoness Spiritualist,Common,$0.15
Amazoness War Chief,Common,$0.15
"Arionpos, Serpent of the Ghoti",Ultra Rare,$0.84
Baku the Beast Ninja,Super Rare,$0.12
Bayerock Dragon,Common,$0.07
Black Feather Whirlwind,Super Rare,$0.24
Black Shadow Squall,Common,$0.10
Blackwing - Boreastorm the Wicked Wind,Super Rare,$0.25
Blackwing - Chinook the Snow Blast,Super Rare,$0.20
Blackwing - Shamal the Sandstorm,Super Rare,$0.26
Blackwing - Sudri the Phantom Glimmer,Ultra Rare,$3.90
Blackwing - Twin Shadow,Common,$0.13
Blackwing - Vata the Emblem of Wandering,Super Rare,$0.30
Blackwing - Zonda the Dusk,Common,$0.14
Black-Winged Assault Dragon,Ultra Rare,$1.12
Black-Winged Dragon (Starlight Rare),Starlight Rare,$122.81
"Blazing Cartesia, the Virtuous",Secret Rare,$22.07
"Blazing Cartesia, the Virtuous (Starlight Rare)",Starlight Rare,$193.35
Branded Beast,Super Rare,$0.30
Branded Regained,Super Rare,$0.34
Bystial Druiswurm,Super Rare,$17.98
Bystial Magnamhut,Super Rare,$19.98
Bystial Saronir,Super Rare,$2.69
Celestial Apparatus Tesea,Common,$0.05
Cucumber Horse,Common,$0.05
Curse of Aramatir,Common,$0.05
Decisive Battle of Golgonda,Common,$0.09
Destructive Daruma Karma Cannon,Ultra Rare,$2.57
"Dinomight Powerload, the Dracoslayer",Super Rare,$0.23
"Donner, Dagger Fur Hire",Super Rare,$0.22
Dragonic Pendulum,Common,$0.10
Freki the Runick Fangs,Common,$0.13
Ghoti Cosmos,Common,$0.09
Ghoti Fury,Super Rare,$0.13
"Guoglim, Spear of the Ghoti",Secret Rare,$0.89
Han-Shi Kyudo Spirit,Common,$0.10
"Ignis Phoenix, the Dracoslayer",Secret Rare,$4.92
Infernalqueen Salmon,Common,$0.10
"Ixeep, Omen of the Ghoti",Common,$0.09
Kagero the Cannon Ninja,Common,$0.10
Kashtira Birth,Super Rare,$0.81
Kashtira Fenrir,Ultra Rare,$71.35
Kashtira Ogre,Common,$0.15
Kashtira Preparations,Common,$0.14
Kashtira Shangri-Ira,Super Rare,$0.76
Kashtira Unicorn,Ultra Rare,$23.39
Lady Labrynth of the Silver Castle,Secret Rare,$12.41
Lady Labrynth of the Silver Castle (Starlight Rare),Starlight Rare,$301.09
Laughing Puffin,Common,$0.06
"Majesty Pegasus, the Dracoslayer",Ultra Rare,$1.65
Meizen the Battle Ninja,Ultra Rare,$0.36
Mereologic Aggregator,Super Rare,$0.18
Mitsu the Insect Ninja,Ultra Rare,$0.57
Mitsu the Insect Ninja (Starlight Rare),Starlight Rare,$64.81
Muckraker From the Underworld,Secret Rare,$8.90
Muckraker From the Underworld (DABL-ENSP1),Ultra Rare,$14.61
Naturia Blessing,Common,$0.12
Naturia Camellia,Common,$0.14
Naturia Mole Cricket,Common,$0.18
Ninjitsu Art Notebook of Mystery,Ultra Rare,$0.34
Ninjitsu Art of Dancing Leaves,Common,$0.11
Ninjitsu Art Tool - Iron Digger,Common,$0.09
Original Bamboo Sword,Common,$0.07
Prediction Princess Bibliomuse,Common,$0.09
Prediction Princess Tarotreith,Super Rare,$0.12
Psychic Rover,Common,$0.05
"Rex, Freight Fur Hire",Super Rare,$0.22
Scareclaw Decline,Common,$0.08
Scareclaw Twinsaw,Common,$0.09
Shamisen Samsara Sorrowcat,Super Rare,$0.16
Silent Wolf Calupo,Common,$0.06
Simul Archfiends,Super Rare,$0.07
"Snopios, Shade of the Ghoti",Super Rare,$0.16
Soul Scissors,Common,$0.07
Spellbound,Secret Rare,$5.96
Spright Double Cross,Super Rare,$0.17
Spright Sprind,Secret Rare,$6.64
Stars Align across the Milky Way,Common,$0.07
Tearlaments Grief,Common,$0.11
Tearlaments Heartbeat,Common,$0.13
Tearlaments Rulkallos,Secret Rare,$4.04
Tearlaments Rulkallos (Starlight Rare),Starlight Rare,$256.27
Tearlaments Scream,Common,$0.17
Terrors in the Hidden City,Super Rare,$0.17
The Bystial Alba Los,Ultra Rare,$0.38
The Bystial Lubellion,Secret Rare,$53.17
The Great Noodle Inversion,Common,$0.05
Tilting Entrainment,Common,$0.12
Tobari the Sky Ninja,Common,$0.11
Tri-Brigade Showdown,Common,$0.06
Turbo-Tainted Hot Rod GT19,Common,$0.04
Underworld Ritual of Prediction,Common,$0.08
Vaylantz Wakening - Solo Activation,Ultra Rare,$0.46
Vera the Vernusylph Goddess,Ultra Rare,$0.76
Vernusylph in Full Bloom,Common,$0.09
Vernusylph of the Misting Seedlings,Super Rare,$0.93
"Wollow, Founder of the Drudge Dragons",Super Rare,$0.47
Worldsea Dragon Zealantis,Secret Rare,$6.89
Yorishiro of the Aqua,Common,$0.10
Zalamander Catalyzer,Common,$0.26
"Zep, Ruby of the Ghoti",Ultra Rare,$0.94
